"iteration","train_loss_nats_per_char","validation_loss_nats_per_char","elapsed_seconds","characters_processed","approximate_corpus_passes"
0,NA,4.18272006875322,0,0,0
5000,2.23848978352066,2.25087559414321,143.831,640000,0.717236309191607
10000,2.0222831198762,2.07370191457814,282.464,1280000,1.43447261838321
15000,1.95078701679722,1.99831581780021,412.368,1920000,2.15170892757482
20000,1.90131523883042,1.97738601435724,541.437,2560000,2.86894523676643
25000,1.86304943930642,1.94189157238677,677.691,3200000,3.58618154595804
30000,1.83575921919766,1.89930103964578,806.927,3840000,4.30341785514964
35000,1.82615259347301,1.90529249987687,937.009,4480000,5.02065416434125
40000,1.81634131180765,1.87480015265407,1065.255,5120000,5.73789047353286
45000,1.80061242399587,1.88888378471388,1195.165,5760000,6.45512678272447
50000,1.7684224795492,1.86441579691412,1322.219,6400000,7.17236309191607
55000,1.77966940629551,1.84940008224025,1453.597,7040000,7.88959940110768
60000,1.76813914263881,1.84216213353288,1583.746,7680000,8.60683571029929
65000,1.78631323391956,1.85363636989374,1713.629,8320000,9.3240720194909
70000,1.75946458124675,1.83157486197448,1841.862,8960000,10.0413083286825
75000,1.73420318092758,1.84058560887511,1984.082,9600000,10.7585446378741
80000,1.75597990749522,1.82136997575656,2124.492,10240000,11.4757809470657
85000,1.75722655970781,1.82239826991288,2261.231,10880000,12.1930172562573
90000,1.7246098305149,1.81559939352932,2394.734,11520000,12.9102535654489
95000,1.73144563271496,1.80394828007079,2527.783,12160000,13.6274898746405
100000,1.72550374116605,1.80853900104208,2659.537,12800000,14.3447261838321
105000,1.73020647673364,1.80544599890355,2790.608,13440000,15.0619624930238
110000,1.72686873924007,1.81198509492475,2920.341,14080000,15.7791988022154
115000,1.7208497329984,1.81369774134914,3050.637,14720000,16.496435111407
120000,1.71305791523169,1.79016561676151,3179.835,15360000,17.2136714205986
125000,1.73059794243203,1.79825853093721,3311.74,1.6e+07,17.9309077297902
130000,1.73201777298333,1.79440410985847,3441.588,16640000,18.6481440389818
135000,1.74062744762927,1.79149494205966,3571.545,17280000,19.3653803481734
140000,1.72852850719578,1.80164881853378,3700.986,17920000,20.082616657365
145000,1.70494665153687,1.78145376781293,3833.484,18560000,20.7998529665566
150000,1.71160455232907,1.79635748504469,3963.352,19200000,21.5170892757482
155000,1.7077768835969,1.7932876770691,4093.19,19840000,22.2343255849398
160000,1.71718971749648,1.77792856239299,4223.065,20480000,22.9515618941314
165000,1.71750811793716,1.77985079572806,4354.517,21120000,23.668798203323
170000,1.69548152552676,1.77348485922811,4485.206,21760000,24.3860345125147
175000,1.68964767163498,1.76943731578238,4617.074,22400000,25.1032708217063
180000,1.70021678060505,1.78629928886639,4749.089,23040000,25.8205071308979
185000,1.68900298470525,1.77035673521702,4885.9,23680000,26.5377434400895
190000,1.69453207710405,1.78771925950684,5022.847,24320000,27.2549797492811
195000,1.69070945224392,1.75992946133128,5167.673,24960000,27.9722160584727
200000,1.69797800700094,1.77050320504366,5309.702,25600000,28.6894523676643
205000,1.71325904265909,1.77377591057744,5449.853,26240000,29.4066886768559
210000,1.68498412608682,1.76731558683688,5586.579,26880000,30.1239249860475
215000,1.69759942982257,1.7733033934314,5724.094,27520000,30.8411612952391
220000,1.68590420306094,1.76613258926132,5864.262,28160000,31.5583976044307
225000,1.6682543952575,1.77211117495403,5999.587,28800000,32.2756339136223
230000,1.69471247073221,1.76476683859846,6137.807,29440000,32.9928702228139
235000,1.66581195987576,1.76583812941706,6277.328,30080000,33.7101065320055
240000,1.67311710339136,1.7696299324423,6413.587,30720000,34.4273428411972
245000,1.68969114880709,1.75693022742727,6551.133,31360000,35.1445791503888
250000,1.67655212890687,1.7785122701804,6686.434,3.2e+07,35.8618154595804
255000,1.68449792489732,1.76491120563237,6824.866,32640000,36.579051768772
260000,1.667478885481,1.76744959959604,6976.196,33280000,37.2962880779636
265000,1.66275855491057,1.76417250518143,7111.249,33920000,38.0135243871552
270000,1.68628518626928,1.76611025508292,7251.759,34560000,38.7307606963468
275000,1.68107532521488,1.76430348265145,7393.173,35200000,39.4479970055384
280000,1.66633788641968,1.76017006738351,7537.35,35840000,40.16523331473
285000,1.66918458967211,1.75796575444395,7682.353,36480000,40.8824696239216
290000,1.688271389318,1.76420734874755,7824.652,37120000,41.5997059331132
295000,1.69913122993926,1.74723020997933,7971.209,37760000,42.3169422423048
300000,1.68440886944308,1.74740237444766,8118.149,38400000,43.0341785514964
